"activityType","startTimestamp","endTimestamp","kilometers","hours","speed","timeOfDay","weekday","weekOfYear","month"
"CYCLING",2022-04-26 19:10:09,2022-04-26 19:14:58,0.675364251062116,0.0802777777777778,8.41284188174262,"Evening","Tuesday",17,"April"
"CYCLING",2022-04-26 20:43:42,2022-04-26 20:55:54,4.03301383805755,0.203333333333333,19.8344942855289,"Evening","Tuesday",17,"April"
"CYCLING",2022-04-26 23:14:44,2022-04-26 23:24:36,2.48724668041382,0.164444444444444,15.1251487322462,"Evening","Tuesday",17,"April"
"CYCLING",2022-04-26 23:39:40,2022-04-26 23:45:35,1.33259272733348,0.0986111111111111,13.5136163898606,"Evening","Tuesday",17,"April"
"CYCLING",2022-04-27 09:39:40,2022-04-27 10:10:22,9.08006307713752,0.511666666666667,17.7460516165554,"Morning","Wednesday",17,"April"
"CYCLING",2022-04-27 13:16:42,2022-04-27 13:27:17,2.36077767089453,0.176388888888889,13.3839364019217,"Afternoon","Wednesday",17,"April"
"CYCLING",2022-04-27 13:32:21,2022-04-27 13:50:47,2.76180804137194,0.307222222222222,8.98961026124684,"Afternoon","Wednesday",17,"April"
"CYCLING",2022-04-27 14:20:16,2022-04-27 14:33:31,2.81704036402232,0.220833333333333,12.7564091955728,"Afternoon","Wednesday",17,"April"
"CYCLING",2022-04-27 16:23:37,2022-04-27 16:50:12,5.06208746844018,0.443055555555556,11.4254011826863,"Afternoon","Wednesday",17,"April"
"CYCLING",2022-04-27 20:20:14,2022-04-27 20:58:46,9.5861717230741,0.642222222222222,14.9265649667244,"Evening","Wednesday",17,"April"
"CYCLING",2022-04-27 21:05:25,2022-04-27 21:27:45,4.52080027348327,0.372222222222222,12.1454335705521,"Evening","Wednesday",17,"April"
"CYCLING",2022-04-28 10:54:18,2022-04-28 10:56:19,0.52099600107403,0.0336111111111111,15.5007074699712,"Morning","Thursday",17,"April"
"CYCLING",2022-04-28 11:16:49,2022-04-28 11:45:36,7.33401715490154,0.479722222222222,15.2880496570038,"Morning","Thursday",17,"April"
"CYCLING",2022-04-28 18:31:14,2022-04-28 18:53:30,4.30111965178964,0.371111111111111,11.5898433730859,"Afternoon","Thursday",17,"April"
"CYCLING",2022-04-28 18:58:58,2022-04-28 19:05:16,1.01947230931079,0.105,9.70926008867417,"Afternoon","Thursday",17,"April"
"CYCLING",2022-04-28 19:27:36,2022-04-28 19:48:11,4.05884826283984,0.343055555555556,11.8314605232578,"Evening","Thursday",17,"April"
"CYCLING",2022-04-29 13:39:23,2022-04-29 13:59:38,4.90082271593932,0.3375,14.5209561953758,"Afternoon","Friday",17,"April"
"CYCLING",2022-04-29 14:31:09,2022-04-29 14:32:15,0.268726122263003,0.0183333333333333,14.6577884870729,"Afternoon","Friday",17,"April"
"CYCLING",2022-04-29 14:44:01,2022-04-29 15:07:08,5.02798343918816,0.385277777777778,13.0502814571574,"Afternoon","Friday",17,"April"
"CYCLING",2022-04-29 16:43:45,2022-04-29 16:59:19,3.43965619867601,0.259444444444444,13.2577754981088,"Afternoon","Friday",17,"April"
"CYCLING",2022-04-29 18:57:37,2022-04-29 19:09:48,2.57173625725548,0.203055555555556,12.6651853982486,"Afternoon","Friday",17,"April"
"CYCLING",2022-04-29 20:16:00,2022-04-29 20:38:08,5.37542952615651,0.368888888888889,14.5719475106652,"Evening","Friday",17,"April"
"CYCLING",2022-04-29 22:40:34,2022-04-29 23:03:57,3.15963271332945,0.389722222222222,8.10739684104491,"Evening","Friday",17,"April"
"CYCLING",2022-04-29 23:12:49,2022-04-29 23:27:30,3.06620216131953,0.244722222222222,12.52931643672,"Evening","Friday",17,"April"
